Class	Pub_doi	Pub_title	Pub_concept	Class_short
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Digital Skills	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Small Parcels	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	ICT Skills	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Skills Development Strategies	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Trade Logistics	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Non-cognitive Skills	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Digital Transformation	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Privacy Protection	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	United States Federal Trade Commission	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Trade Facilitation	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Data Protection	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Quality Primary And Secondary Education	Job Automation
Job Automation	10.18356/d11e88df-en	Information Economy Report 2017 - Policies for trade and development in the digital economy	Personal Data	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Digital Security	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	South East Europe	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Republika Srpska	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Digital Society	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Information And Communications Technology Access	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	SOUTH EAST EUROPE COMPETITIVENESS	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Yugoslav Republic	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Information And Communications Technology Adoption	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Information And Communications Technology Industry	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	National Computer Emergency Response Teams	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	National Digital Strategy	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Public Sector Websites	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Digital Strategies	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Digital Economy	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	South East Europe Economies	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Strategy Indicator	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Digital Single Market	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Personal Data Protection	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	Digital Risk Management	Job Automation
Job Automation	10.1787/9789264298576-15-en	Competitiveness in South East Europe - Digital society in South East Europe	National Interoperability Frameworks	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Information And Communications Technology Companies	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Venture Capital	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Information And Communications Technology Networks	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Mobile Money	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Equity Crowdfunding	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Digital Development	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Provide Seed Funding	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Open Source	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Private Equity	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Venture Capital Investment	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Online Payment	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Tech Sector	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Business Models	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Co-working Spaces	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Clean Tech	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Online Payment Systems	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Opportunity Entrepreneurship	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Information And Communications Technology Services	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Valuable Ally	Job Automation
Job Automation	11.1002/pub/80e4b885-293f3be8-en	A Review of Micro, Small and Medium-Sized Enterprises in the ICT Sector	Information And Communications Technology Solutions	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Regulatory Sandbox	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Digital Transformation	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Sweden's Financial Supervisory Authority	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Policy Labs	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Swedish Innovation Policies	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Real Environment	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Blue Collar Workers	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Road Safety	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Generation Travel	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Attention Deficit Hyperactivity Disorder	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	National Mediation Office	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Job Security Councils	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Swedish Transport Administration	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Digital Economy	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Bio-based Economy	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Autonomous Vehicles	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Smart Industry	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Labour Market	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Digital Innovation	Job Automation
Job Automation	10.1787/9789264302259-7-en	OECD Reviews of Digital Transformation: Going Digital in Sweden - Seizing the opportunities from digitalisation	Job Platforms	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Union Budget	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	Cohesion Policy	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Globalisation Adjustment Fund	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Union Funds	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	Single Market	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Union GDP	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	intra-EU Mobility	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Union Member Countries	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	High Level Expert Group	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	Digital Single Market	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Regional Development Fund	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	Digital Skills	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Union Countries	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Union Citizens	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	Structural Funds	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	Services Trade Restrictiveness Index	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Union Emission Trading System	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	Member States	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	Digital Technologies	Job Automation
Job Automation	10.1787/eco_surveys-eur-2018-en	OECD Economic Surveys: European Union 2018	European Union Cohesion Policy	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Fourth Industrial Revolution	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	KOREAN PEOPLE	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Production Revolution	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Knowledge Based Capital	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	KOREAN FIRMS	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	REDUCING LABOUR MARKET DUALITY	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	OECD Recommendations	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	OECD Trade Facilitation Indicators	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	KOREAN REGIONS	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Non-regular Workers	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Cloud Computing Services	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Global Innovation Networks	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Electronic Health Record	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Wide Productivity Gap	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Low Skilled Adults	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Unpaid Family Workers	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	High End Markets	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Lifelong Learning	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Health Data	Job Automation
Job Automation	10.1787/9789264285545-en	Better Policies - Digitalisation: An Enabling Force for the Next Production Revolution in Korea	Next Production Revolution	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Autonomous Driving	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Autonomous Vehicles	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Electric Vehicles	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Vehicle Manufacturers	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Chapter II	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	General Motors	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Automotive Industry	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Private Transport Service	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Global Automotive Industry	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Autonomous Car	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Artificial Intelligence	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Internal Combustion Engines	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Automotive Products	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Electric Car	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Advanced Driver Assistance Systems	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Entertainment Systems	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Nissan Leaf	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Conventional Internal Combustion Engine	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	Electric Vehicle Market	Job Automation
Job Automation	10.18356/9fab14f5-en	Foreign Direct Investment in Latin America and the Caribbean 2017 - Disruptive change in a leading sector: Relocation, business models and technological revolution in the global automotive industry	United States	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	OECD Digital ECOnOmy OutlOOk	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	Autonomous Machines	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	Autonomous Vehicles	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	Big Data	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	Sim Cards	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	rfiD Tags	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	Smart Meters	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	Network Address Translation	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	Cloud Computing	Job Automation
Job Automation	10.1787/9789264232440-8-en	OECD Digital Economy Outlook 2015 - Emerging issues: The Internet of Things	Mobile Networks	Job Automation
